start_s,end_s,cell_id,imsi,rnti,lcid,n_tx_pdus,tx_bytes,n_rx_pdus,rx_bytes,delay_s,delay_std_dev_s,delay_min_s,delay_max_s,pdu_size_bytes,pdu_size_std_dev_bytes,pdu_size_min_bytes,pdu_size_max_bytes
0.6,0.7,1,7,3,3,198,259380,58,75980,0.218925,0.0353492,0.194492,0.472574,1310,0.0,1310.0,1310.0
0.6,0.7,1,8,7,3,198,259380,70,91700,0.093917,0.101661,0.0474913,0.540716,1310,0.0,1310.0,1310.0
0.6,0.7,1,9,1,3,198,259380,57,74670,0.379385,0.0193004,0.34849,0.41049,1310,0.0,1310.0,1310.0
0.6,0.7,1,10,6,3,198,259380,58,75980,0.295222,0.0110875,0.275489,0.315489,1310,0.0,1310.0,1310.0
0.6,0.7,1,11,2,3,198,259380,57,74670,0.238672,0.00841588,0.221488,0.252988,1310,0.0,1310.0,1310.0
0.6,0.7,1,12,8,3,198,259380,64,83840,0.379549,0.0217926,0.344487,0.414987,1310,0.0,1310.0,1310.0
0.7,0.8,1,1,9,3,1663,2178530,58,75980,0.253414,0.0929141,0.00349881,0.554581,1310,0.0,1310.0,1310.0
0.7,0.8,1,2,11,3,198,259380,65,83110,0.450367,0.0220238,0.414998,0.485498,1278,178.353,135.0,1322.0
0.7,0.8,1,3,5,3,198,259380,69,90390,0.450238,0.016388,0.406579,0.475497,1310,0.0,1310.0,1310.0
0.7,0.8,1,4,4,3,198,259380,148,193880,0.103872,0.12586,0.00141689,0.279996,1310,0.0,1310.0,1310.0
0.7,0.8,1,5,12,3,198,259380,165,216150,0.103531,0.127768,0.000987242,0.283994,1310,0.0,1310.0,1310.0
0.7,0.8,1,6,10,3,1737,2275470,51,66810,0.24766,0.00890431,0.230493,0.264493,1310,0.0,1310.0,1310.0
0.7,0.8,1,7,3,3,198,259380,60,78600,0.263891,0.0663042,0.226992,0.611574,1310,0.0,1310.0,1310.0
0.7,0.8,1,8,7,3,621,813510,57,74670,0.0970877,0.00952414,0.0814913,0.114991,1310,0.0,1310.0,1310.0
0.7,0.8,1,9,1,3,1029,1347990,159,208290,0.275282,0.188606,0.00649017,0.424572,1310,0.0,1310.0,1310.0
0.7,0.8,1,10,6,3,198,259380,57,74670,0.331691,0.01088,0.312489,0.350989,1310,0.0,1310.0,1310.0
0.7,0.8,1,11,2,3,198,259380,65,85150,0.271296,0.0100808,0.252488,0.287488,1310,0.0,1310.0,1310.0
0.7,0.8,1,12,8,3,1508,1975480,52,68120,0.0408331,0.0945926,0.00348693,0.506487,1310,0.0,1310.0,1310.0
0.8,0.9,1,1,9,3,198,259380,57,74670,0.0304199,0.0115356,0.00899881,0.0504988,1310,0.0,1310.0,1310.0
0.8,0.9,1,2,11,3,198,259380,56,72310,0.521748,0.0193989,0.490498,0.552998,1291,113.485,591.0,1322.0
0.8,0.9,1,3,5,3,198,259380,533,698230,0.319576,0.114906,0.121329,0.507497,1310,0.0,1310.0,1310.0
0.8,0.9,1,4,4,3,198,259380,156,204360,0.12583,0.14767,0.00147047,0.325496,1310,0.0,1310.0,1310.0
0.8,0.9,1,5,12,3,198,259380,70,91700,0.253417,0.102053,0.0343265,0.321994,1310,0.0,1310.0,1310.0
0.8,0.9,1,6,10,3,198,259380,6,7860,0.278493,0.00173205,0.275993,0.280993,1310,0.0,1310.0,1310.0
0.8,0.9,1,7,3,3,2296,3007760,64,83840,0.110102,0.132128,0.00449233,0.354992,1310,0.0,1310.0,1310.0
0.8,0.9,1,8,7,3,198,259380,141,184710,0.177008,0.277421,0.00100186,0.709491,1310,0.0,1310.0,1310.0
0.8,0.9,1,9,1,3,605,792550,61,79910,0.15853,0.179037,0.0474902,0.50949,1310,0.0,1310.0,1310.0
0.8,0.9,1,10,6,3,198,259380,65,85150,0.370312,0.0116245,0.351989,0.392989,1310,0.0,1310.0,1310.0
0.8,0.9,1,11,2,3,198,259380,58,75980,0.313959,0.0547498,0.287488,0.71632,1310,0.0,1310.0,1310.0
0.8,0.9,1,12,8,3,1130,1480300,51,66810,0.23582,0.252182,0.00548693,0.579487,1310,0.0,1310.0,1310.0
0.9,1.0,1,1,9,3,198,259380,88,115280,0.162492,0.155619,0.0489988,0.428331,1310,0.0,1310.0,1310.0
0.9,1.0,1,2,11,3,198,259380,59,75264,0.58971,0.0199878,0.558498,0.620498,1275,208.328,35.0,1322.0
