imsi,time_s,from_cell_id,to_cell_id,prev_time_s,delta_s,from_rnti,to_rnti
10,0.3039,1,5,0.0799,0.224,6,4
10,0.3279,5,1,0.3039,0.02400000000000002,4,6
10,0.5295,1,5,0.3279,0.20159999999999995,6,4
10,0.5439,5,1,0.5295,0.01440000000000008,4,6
10,1.3501,1,2,0.5439,0.8062,6,10
10,1.3711,2,1,1.35077,0.02032999999999996,10,6
10,1.4287,1,2,1.3711,0.057600000000000096,6,10
10,1.5183,2,1,1.4287,0.0895999999999999,10,6
10,1.6047,1,2,1.5183,0.08640000000000003,6,10
10,1.6735,2,1,1.6047,0.06879999999999997,10,6
10,1.7023,1,2,1.6735,0.028799999999999937,6,10
10,1.7247,2,1,1.7023,0.022399999999999975,10,6
10,1.7407,1,2,1.7247,0.016000000000000014,6,10
10,1.9535,2,1,1.7407,0.2128000000000001,10,6
10,2.3055,1,2,1.9535,0.35199999999999987,6,10
10,3.0493,2,4,2.3055,0.7438000000000002,10,5
10,3.1501,4,2,3.05002,0.10008000000000017,5,17
10,3.4335,2,1,3.15077,0.2827299999999999,17,6
10,3.4479,1,2,3.4335,0.01440000000000019,6,17
10,3.6879,2,1,3.4479,0.23999999999999977,17,6
10,5.3117,1,4,3.6879,1.6238000000000001,6,7
10,5.4109,4,2,5.31227,0.09863,7,26
10,6.5103,2,1,5.41152,1.0987799999999996,26,6
10,6.5487,1,2,6.5103,0.03840000000000021,6,26
10,6.6079,2,1,6.5487,0.0591999999999997,26,6
11,0.0591,4,1,0.0542153,0.004884699999999999,2,2
11,0.1039,1,4,0.0591,0.044800000000000006,2,2
11,1.0569,4,2,0.1039,0.953,2,8
11,3.2011,2,5,1.05752,2.14358,8,13
11,3.3501,5,2,3.20177,0.14833000000000007,13,19
11,3.3853,2,5,3.35077,0.03453000000000017,19,15
11,3.5357,5,2,3.38602,0.14968000000000004,15,20
11,4.3101,2,5,3.53627,0.7738300000000002,20,19
12,0.0847,3,1,0.0542154,0.0304846,1,8
12,0.7071,1,3,0.0847,0.6224,8,1
12,0.7551,3,1,0.7071,0.04800000000000004,1,8
12,0.8351,1,3,0.7551,0.07999999999999996,8,1
12,0.8623,3,1,0.8351,0.027200000000000002,1,8
12,1.2879,1,3,0.8623,0.4256000000000001,8,1
12,1.4047,3,1,1.2879,0.11680000000000001,1,8
12,3.2079,1,3,1.4047,1.8032,8,1
12,3.3071,3,1,3.2079,0.09920000000000018,1,8
12,4.6511,1,3,3.3071,1.3439999999999994,8,1
12,4.7951,3,1,4.6511,0.14400000000000013,1,8
12,5.1087,1,3,4.7951,0.3136000000000001,8,1
12,5.2079,3,1,5.1087,0.09920000000000062,1,8
12,5.4623,1,3,5.2079,0.2543999999999995,8,1
12,5.5087,3,1,5.4623,0.04640000000000022,1,8
12,5.5167,1,3,5.5087,0.008000000000000007,8,1
12,5.7279,3,1,5.5167,0.21119999999999983,1,8
12,5.8095,1,3,5.7279,0.0815999999999999,8,1
12,5.9951,3,1,5.8095,0.1856,1,8
12,6.0047,1,3,5.9951,0.009599999999999831,8,1
12,6.0095,3,1,6.0047,0.0048000000000003595,1,8
